id;artist;album
Rok6VEyNoFU;mitski;be the cowboy
7Z65GoMcY04;young thug;slime language compilation
nFM1sCBx9do;iglooghost;clear tamei / steel mogu ep
WgSPTczwVbQ;trippie redd;life's a trip
Wo4tybjxZa8;hmltd;hate music last time delete ep
knKmh_wfOOQ;nicki minaj;queen
7v0mYN2k16g;valee;good job, you found me ep
IX5QmxD9kVE;imperial triumphant;vile luxury
UgwPxFUUg94;mac miller;swimming
HCF5ZNTsce4;yg;stay dangerous
t4RjOz8dKro;travis scott;astroworld
5zf-_mQYwu8;james ferraro;four pieces for mirai ep
rTb8Kcs89mk;let's eat grandma;i'm all ears
nDZqxWjRLCU;denzel curry;ta13oo
gKPkQv_aLzY;melody's echo chamber;bon voyage
fCL9gKzQrz4;88rising;head in the clouds
O3GBsa1-dKs;the internet;hive mind
exmYWItj-YY;busdriver;electricity is on our side
gmGaEVWYiJo;dirty projectors;lamp lit prose
OWDogwWqb_A;snail mail;lush
O5VtHXdfZPM;haru nemuri;haru to shura
pAmg0NYX0GI;deafheaven;ordinary corrupt human love
rBfnUffVx-8;serpentwithfeet;soil
RIf2tJqrGXI;florence + the machine;high as hope
provbgYpk5o;zeal & ardor;stranger fruit
GXcTZuZbiOE;the carters;everything is love
aRSdeuF9qiE;teyana taylor;k.t.s.e.
w7PFQHSOmLY;vein;errorzone
yP6b02-qSlA;kamasi washington;heaven and earth
DPHYLnhPRqw;gorillaz;the now now
67l6E8PVoFI;jay rock;redemption
ljtIQkFRL1g;drake;scorpion
5mifHOOfcE8;nine inch nails;bad witch
E7uoajRW7sM;freddie gibbs;freddie mixtape
ynCFF7DWHmI;death grips;year of the snitch
t7-aROT2eqo;rico nasty;nasty
XyB3yOo81cU;sophie;insides
_LEQYT-ffsM;nas;nasir
FJwmTnjDkrI;bladee;red light
uOLb73_zgVg;lump;titled
tu41W2j52OY;tropical [frick] storm;a laughing death in meatspace
paETFHcjTUg;big ups;two parts together
kXkSqBW2wTs;black thought & 9th wonder;streams of thought, vol. 1 ep
DbKWD0CYuX0;tierra whack;whack world
SMUocQXGbqc;godsmack;when legends rise
9rkFbKVownA;kids see ghosts;titled
-L2Xv5-EmUo;ghost;prequelle
34oyVszwnJk;father john misty;god's favorite customer
CV1Ybh8v21k;oneohtrix point never;age of
lZp0ZTzHCuQ;juice wrld;goodbye & good riddance
ixElcxn6PlQ;kanye west;ye
GO_hwQqCDZo;niki;zephyr
1C33F3MAGuU;a$ap rocky;testing
KmLvOn-f5Oo;bts;love yourself 轉 'tear'
icib8b4GYlI;park jiha;communion
z605Rm7lFTM;pusha t;daytona
cFanGXSGDWA;lil b;platinum flame mixtape
HMIUSLOR350;mark kozelek;mark kozelek
m1EiUEIdMr4;nav;reckless
4ZZREmYnygU;parquet courts;wide awake!
GkeHYp7MASY;courtney barnett;tell me how you really feel
J6CCJNs-Iso;frank ocean;endless redux
X0ACL1CRIKs;ski mask the slump god;beware the book of eli mixtape
uNAm2pFDgBA;arctic monkeys;tranquility base hotel + casino
nWcEHLFmKdE;beach house;7
eXm3ODioS80;playboi carti;die lit
cX9qqFGrDX4;jon hopkins;singularity
1K6l7wIuOHg;wiley;godfather ii
fxDjKGGCYRc;iceage;beyondless
GlToEXQO2yc;rae sremmurd;sr3mm
jG_1LDtuSJY;daniel avery;song for alpha
2dbrndTCzng;kimbra;primal heart
vELbNWkvVk0;panopticon;the scars of man on the once nameless wilderness
4Way39aUJ4g;janelle monáe;dirty computer
a1olq-lfc-I;post malone;beerbongs & bentleys
xS9kRoXURvg;sleep;the sciences
43tFabU6610;felix blume;death in haiti: funeral brass bands & sounds from port au prince
ZruuCzKf70k;a perfect circle;eat the elephant
_C0gp-HN7NY;hop along;bark your head off, dog
D5vrzzxGxwc;j. cole;kod
nsO2-Pwoa5s;unknown mortal orchestra;sex & food
cn00K4FqQRE;princess nokia;a girl cried red mixtape
BN8x5zo3iNs;john prine;the tree of forgiveness
