url;id;title
/watch?v=90KKkgAUaNM&list=UUt7fwAhXDy3oNFTAzF2o8Pw&index=90;90KKkgAUaNM;Weekly Track Roundup: 11/17 (Billie Eilish, Harry Styles, Grimes, Moses Sumney)
/watch?v=XQJ2o3Si9mU&list=UUt7fwAhXDy3oNFTAzF2o8Pw&index=91;XQJ2o3Si9mU;Doja Cat - Hot Pink ALBUM REVIEW
/watch?v=1J3s6wbc-S4&list=UUt7fwAhXDy3oNFTAzF2o8Pw&index=92;1J3s6wbc-S4;Matana Roberts - COIN COIN Chapter Four: Memphis ALBUM REVIEW
/watch?v=4pRxNcHyxKQ&list=UUt7fwAhXDy3oNFTAzF2o8Pw&index=93;4pRxNcHyxKQ;Michael Kiwanuka - Kiwanuka ALBUM REVIEW
/watch?v=auy8wEk7Fww&list=UUt7fwAhXDy3oNFTAzF2o8Pw&index=94;auy8wEk7Fww;FKA twigs - Magdalene ALBUM REVIEW
/watch?v=4tMn-cTP_wQ&list=UUt7fwAhXDy3oNFTAzF2o8Pw&index=95;4tMn-cTP_wQ;Westside Gunn - HWH7 MIXTAPE REVIEW
/watch?v=LFUkzI_suGY&list=UUt7fwAhXDy3oNFTAzF2o8Pw&index=96;LFUkzI_suGY;Weekly Track Roundup: 11/10 (FKA twigs, Beck, KSI, Poppy)
/watch?v=UtL5_lw0xtI&list=UUt7fwAhXDy3oNFTAzF2o8Pw&index=97;UtL5_lw0xtI;Gang Starr - One of the Best Yet ALBUM REVIEW
/watch?v=Ue7WGgA_2_Q&list=UUt7fwAhXDy3oNFTAzF2o8Pw&index=98;Ue7WGgA_2_Q;Anamanaguchi - [USA] ALBUM REVIEW
/watch?v=n8yFCmjXZeE&list=UUt7fwAhXDy3oNFTAzF2o8Pw&index=99;n8yFCmjXZeE;Highly Suspect's MCID: NOT GOOD
/watch?v=3mE4p3Ctlek&list=UUt7fwAhXDy3oNFTAzF2o8Pw&index=100;3mE4p3Ctlek;Sunn O))) - Pyroclasts ALBUM REVIEW
/watch?v=Bnu1PHF1HSA&list=UUt7fwAhXDy3oNFTAzF2o8Pw&index=101;Bnu1PHF1HSA;Weekly Track Roundup: 1/27 (Rosalía, Pearl Jam, Hayley Williams, Dorian Electra)
/watch?v=t9vCCWuoF0k&list=UUt7fwAhXDy3oNFTAzF2o8Pw&index=102;t9vCCWuoF0k;Poppy - I Disagree ALBUM REVIEW
/watch?v=S5JcFNvl3kE&list=UUt7fwAhXDy3oNFTAzF2o8Pw&index=103;S5JcFNvl3kE;Stormzy - Heavy Is the Head ALBUM REVIEW
/watch?v=HaKthjg4zYQ&list=UUt7fwAhXDy3oNFTAzF2o8Pw&index=104;HaKthjg4zYQ;Jackboys & Travis Scott - Self-Titled ALBUM REVIEW
/watch?v=7ndtSyn6dVg&list=UUt7fwAhXDy3oNFTAzF2o8Pw&index=105;7ndtSyn6dVg;Mac Miller - Circles ALBUM REVIEW
/watch?v=CRdHP88An2s&list=UUt7fwAhXDy3oNFTAzF2o8Pw&index=106;CRdHP88An2s;Eminem - Music to Be Murdered By ALBUM REVIEW
/watch?v=JFSw-jTRy6Y&list=UUt7fwAhXDy3oNFTAzF2o8Pw&index=107;JFSw-jTRy6Y;Weekly Track Roundup: 1/19 (Eminem, Mac Miller, Drake, Tame Impala)
/watch?v=EyMX4lcKNPg&list=UUt7fwAhXDy3oNFTAzF2o8Pw&index=108;EyMX4lcKNPg;Top 200 Albums of the 2010s
/watch?v=gnkw3tjc4ck&list=UUt7fwAhXDy3oNFTAzF2o8Pw&index=109;gnkw3tjc4ck;Top 100 Songs of the 2010s
/watch?v=S-gAv3pO8iM&list=UUt7fwAhXDy3oNFTAzF2o8Pw&index=110;S-gAv3pO8iM;15 Worst Albums of the 2010s
/watch?v=IOFf-6Jg-GM&list=UUt7fwAhXDy3oNFTAzF2o8Pw&index=111;IOFf-6Jg-GM;20 Worst Singles of the 2010s
/watch?v=rNaT3KazKoE&list=UUt7fwAhXDy3oNFTAzF2o8Pw&index=112;rNaT3KazKoE;Kanye West - My Beautiful Dark Twisted Fantasy REDUX REVIEW
/watch?v=e-Q9e1DjO5U&list=UUt7fwAhXDy3oNFTAzF2o8Pw&index=113;e-Q9e1DjO5U;Clipse - Hell Hath No Fury ALBUM REVIEW
/watch?v=TIVqhJuE1sY&list=UUt7fwAhXDy3oNFTAzF2o8Pw&index=114;TIVqhJuE1sY;My Chemical Romance - The Black Parade ALBUM REVIEW
