ARTISTS,ALBUM TITLE,SCORE,GENDER
Big K.R.I.T.,King Remembered In Time,7,M
James Blake,Overgrown,7,M
Lapalux,Nostalchic,7,M
The Game,The Next Day,7,M
A$AP Rocky,Long.Live.A$AP,7,M
Scott Walker,Bish Bosch,7,M
Captain Murphy,Duality,7,M
Vessel,Order of Noise,7,M
Andy Stott,Luxury Problems,7,M
Blu & Exile,Give Me My Flowers While I Can Still Smell Them,7,M
The Mountain Goats,Transcendental Youth,7,M
Flying Lotus,Until the Quiet Comes,7,M
Jens Lekman,I Know What Love Isn't,7,M
Four Tet,Pink,7,M
Eprom,Metahuman,7,M
R. Stevie Moore,Lo Fi Hi Fives,7,M
Gnaw Their Tongues,Eschatological Scatology,7,M
Aesop Rock,Skelethon,7,M
Frank Ocean,Channel Orange,7,M
H-SIK,Cocody,7,M
Open Mike Eagle,4NML HSPTL,7,M
Joey Bada$$,1999,7,M
Clams Casino,Instrumentals 2,7,M
Big K.R.I.T.,Live From the Underground,7,M
Mount Eerie,Clear Moon,7,M
Dr. John,Locked Down,7,M
Kindness,"World, You Need a Change of Mind",7,M
Shlohmo,Vacation,7,M
Zammuto,Idiom Wind,7,M
Jacaszek,Glimmer,7,M
King Krule,King Krule,7,M
The Field,Looping State of Mind,7,M
Tom Waits,Bad As Me,7,M
Rustie,Glass Swords,7,M
Shlohmo,Bad Vibes,7,M
Apathy,Honkey Kong,7,M
Hudson Mohawke,Satin Panthers,7,M
Coma Cinema,Blue Suicide,7,M
Amon Tobin,ISAM,7,M
Siriusmo,Mosaik,7,M
James Blake,James Blake,7,M
A-1,After School Special,7,M
Skrillex,Scary Monsters and Nice Sprites,7,M
"Tyler, The Creator",Bastard,7,M
Cee Lo Green,The Lady Killer,7,M
Gold Panda,Lucky Shiner,7,M
Matthew Dear,Black City,7,M
The Gaslamp Killer,Death Gate,7,M
Teen Daze,Four More Years,7,M
Wild Nothing,Gemini,7,M
Here We Go Magic,Pigeons,7,M
Tobacco,Maniac Meat,7,M
Caribou,Suddenly,7,M
Bad Bunny,YHLQMDLG,7,M
gupi,None,7,M
Yves Tumor,Heaven To A Tortured Mind,7,M
Squarepusher,Be Up a Hello,7,M
Earl Sweatshirt,Some Rap Songs,8,M
J.I.D,DiCaprio 2,8,M
Anderson .Paak,Oxnard,8,M
Aphex Twin,Collaspe,8,M
Blood Orange,Negro Swan,8,M
Hermit and the Recluse,Orpheus vs. the Sirens,8,M
Louis Cole,Time,8,M
